,force,blue,green,red,blue_s,green_s,red_s
0,0,55.42857143,108.2539879,86.99184686,1,1,1
10,0.098,52.67458348,110.7034739,88.52924495,0.95031465,1.022627213,1.017672899
15,0.147,66.41563275,122.5522864,81.69797944,1.198220179,1.132081032,0.939145246
20.3,0.19894,101.8512939,139.6931939,52.63541297,1.837523343,1.290420765,0.60506145
24.97,0.244706,101.2259837,164.6696207,61.12903226,1.826241974,1.521141381,0.702698408
30,0.294,92.74069479,150.111308,40.82453031,1.673156865,1.386658458,0.469291454
31,0.3038,61.29563984,116.1660759,52.2314782,1.105849172,1.073088189,0.600418086
32,0.3136,48.61485289,92.71304502,76.24813896,0.877072088,0.856439996,0.876497531
33,0.3234,44.50868486,72.89383197,177.229883,0.802991737,0.673359322,2.037316018
34,0.3332,53.25753279,86.10014179,204.9076569,0.960831777,0.795353071,2.355481166
35.02,0.343196,54.76054591,109.9003899,203.7089685,0.987947993,1.015208696,2.341701847
36,0.3528,61.08472173,174.91067,144.888692,1.102043949,1.615743432,1.665543349
37.07,0.363286,58.3404821,183.0529954,123.9964552,1.052534471,1.690958447,1.425380189
38.03,0.372694,59.50549451,184.2667494,68.67546969,1.073552736,1.702170542,0.789447197
39.02,0.382396,64.86901808,175.4996455,48.94009217,1.170317336,1.621184114,0.562582517
40,0.392,72.99911379,144.7057781,37.775257,1.316994321,1.336724686,0.434239051
41.05,0.40229,86.2731301,124.422368,37.72102091,1.556473997,1.149355976,0.433615589
42,0.4116,107.9489543,94.16465792,44.47270471,1.94753268,0.869849321,0.511228423
43.05,0.42189,114.7185395,81.68557249,53.25948245,2.069664373,0.754573333,0.612235334
44,0.4312,119.8548387,70.56469337,85.89117334,2.162329564,0.651843823,0.987347395
45,0.441,99.90269408,66.9617157,133.674938,1.802368192,0.618561191,1.536637545
46,0.4508,56.96951436,74.62017015,197.3658277,1.027800517,0.689306432,2.26878535
47.02,0.460796,28.43335697,109.9182914,221.6341723,0.512972935,1.015374061,2.547757983
47.97,0.470106,21.4549805,145.0317263,221.6008508,0.387074391,1.339735645,2.547374941
49.05,0.48069,20.45657568,171.218894,211.8819568,0.369061932,1.581640522,2.435653046
50,0.49,23.68734491,197.4271535,186.9544488,0.427349006,1.823740236,2.149103112
51,0.4998,34.48245303,210.5070897,155.2484934,0.622106111,1.944566604,1.784632687
52,0.5096,49.50230415,209.960475,132.9239631,0.893082807,1.939517232,1.528004841
53,0.5194,70.10829493,206.9654378,112.5515775,1.264840372,1.91185047,1.293817542
54,0.5292,95.0483871,197.7022333,90.98032613,1.714790489,1.826281295,1.045848886
55,0.539,127.9790854,181.6393123,75.50779865,2.308901026,1.6778995,0.867987074
56,0.5488,152.8457994,163.9282169,60.26107763,2.757527308,1.514292638,0.692720983
57,0.5586,170.9305211,146.4666785,52.31673166,3.083798061,1.352991065,0.601398103
58,0.5684,181.0221553,130.128855,48.93707905,3.265863626,1.20206985,0.56254788
59,0.5782,179.229883,115.6494151,50.41953208,3.233528817,1.068315517,0.579589167
60,0.588,168.3489897,103.7961716,50.81814959,3.037224041,0.958820765,0.584171407
61,0.5978,144.0159518,91.54182914,57.52321872,2.598225934,0.845620848,0.66124839
62,0.6076,118.4650833,85.80981921,69.20630982,2.137256658,0.792671206,0.79554938
63,0.6174,104.0012407,82.96401985,78.27667494,1.876311043,0.766383035,0.899816221
64,0.6272,87.24530308,83.32949309,98.4393832,1.5740132,0.769759107,1.13159321
65,0.637,68.42201347,89.05600851,120.0457285,1.234417769,0.822657993,1.379965282
66,0.6468,53.36565048,97.51364764,146.308224,0.962782354,0.900785731,1.681861339
67,0.6566,45.27667494,109.9583481,167.3801843,0.816847228,1.015744087,1.924090479
68,0.6664,38.04360156,127.9432825,184.4548033,0.686353636,1.181880547,2.120368861
68.99,0.676102,34.20010635,145.0035448,199.4819213,0.617012228,1.339475317,2.293110544
70,0.686,32.84509039,163.3355193,209.9744771,0.592566064,1.508817573,2.413725938
71,0.6958,36.8404821,175.9292804,213.6299185,0.664647873,1.625152881,2.455746443
72,0.7056,42.59110245,188.5038993,215.8716767,0.768396178,1.741311363,2.481516194
73,0.7154,58.31956753,198.8686636,214.0528181,1.052157146,1.837056236,2.460607814
74,0.7252,65.51612903,206.2511521,210.3816023,1.181992019,1.905252231,2.418405975
75,0.735,75.24140376,213.2720666,202.7644452,1.357448006,1.970108175,2.330844241
75.98,0.744604,97.91368309,216.3855016,191.4358384,1.766483973,1.998868639,2.200618164
77,0.7546,107.707905,216.8667139,185.549805,1.943183853,2.003313855,2.132956268
78,0.7644,124.050514,215.2904998,173.4205955,2.238024737,1.988753522,1.993527
79,0.7742,132.4576391,212.8395959,164.6811414,2.389699675,1.966113211,1.89306409
80,0.784,154.5115207,192.0765686,134.2938674,2.787578982,1.774314021,1.543752343
85,0.833,160.7376817,172.7725984,114.848458,2.899906628,1.59599292,1.320220942
90,0.882,156.2259837,154.398972,101.1300957,2.818510015,1.426265904,1.162523838
95,0.931,142.7841191,141.1545551,90.77419355,2.576002149,1.30392014,1.043479324
